Program,MemoryMiB,InputMiB,NumThreads,Runtime,ReadIO,WriteIO,TotalIO
IntroSort,256,8192,1,1785,70031.5,46969.4,117001
IntroSort,256,8192,8,2564,71642,49130.9,120773
IntroSort,256,8192,8,3000,73486,47572.5,121058
IntroSort,256,8192,1,4873,76505.5,46398.1,122904
IntroSort,256,8192,8,2778,72981,48769.9,121751
IntroSort,256,8192,1,4742,79393.6,46582.1,125976

MergeSort,256,256,1,160,1126.98,571.24,1698.22
MergeSort,256,256,8,28,508.662,1317.43,1826.09
MergeSort,256,256,8,45,1030.11,1558.08,2588.19
MergeSort,256,256,1,180,1161.8,655.938,1817.74
MergeSort,256,256,8,48,1125.72,1575.05,2700.77
MergeSort,256,256,1,184,1196.61,689.492,1886.11
MergeSort,256,512,1,414,3626.27,1611.47,5237.75
MergeSort,256,512,8,98,2622.22,3596.17,6218.39
MergeSort,256,512,8,252,4459.68,5805.78,10265.5
MergeSort,256,512,1,630,4275.58,1611.33,5886.91
MergeSort,256,512,8,258,4422.35,5648.88,10071.2
MergeSort,256,512,1,629,4122.16,1611.53,5733.68
MergeSort,256,1024,1,4103,59074.1,3224.06,62298.2
MergeSort,256,1024,8,227,6594.43,8699.59,15294
MergeSort,256,1024,8,778,10335.6,12945.8,23281.4
MergeSort,256,1024,1,5597,71006.9,3230.67,74237.6
MergeSort,256,1024,8,758,10700.5,13382.8,24083.3
MergeSort,256,1024,1,6406,81180.4,3223.76,84404.2
MergeSort,256,2048,1,1809,12579.2,6648.16,19227.4
MergeSort,256,2048,8,539,16183.2,20940.8,37123.9
MergeSort,256,2048,8,747,19227.9,24926.3,44154.2
MergeSort,256,2048,1,2200,13143.2,7291.8,20435
MergeSort,256,2048,8,760,19484,24416.1,43900.1
MergeSort,256,2048,1,2202,13142.8,7323.28,20466.1
MergeSort,256,4096,1,4121,33769.1,13541.6,47310.6
MergeSort,256,4096,8,1288,40293.4,46671.5,86964.9
MergeSort,256,4096,8,2142,49121.6,58085.3,107207
MergeSort,256,4096,1,5433,35400,14952.1,50352.2
MergeSort,256,4096,8,2047,48136.4,56573.8,104710
MergeSort,256,4096,1,5344,35012.7,14930.7,49943.4
MergeSort,256,8192,1,11191,109485,34387.6,143873
MergeSort,256,8192,8,2959,90035.2,105220,195255

